chapter,source_audio,anki_media_file,transcript_file,translation_file,cards_generated
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_01_001.mp3,inll_09f0a21e014d_B1_KAPITEL_1_B1_AUDIO_01_001.mp3,B1\KAPITEL 1\B1_AUDIO_01_001.txt,B1\KAPITEL 1\B1_AUDIO_01_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_02_001.mp3,inll_f66ff1164380_B1_KAPITEL_1_B1_AUDIO_02_001.mp3,B1\KAPITEL 1\B1_AUDIO_02_001.txt,B1\KAPITEL 1\B1_AUDIO_02_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_03_001.mp3,inll_310ec9395337_B1_KAPITEL_1_B1_AUDIO_03_001.mp3,B1\KAPITEL 1\B1_AUDIO_03_001.txt,B1\KAPITEL 1\B1_AUDIO_03_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_04_001.mp3,inll_a69d6a5c3562_B1_KAPITEL_1_B1_AUDIO_04_001.mp3,B1\KAPITEL 1\B1_AUDIO_04_001.txt,B1\KAPITEL 1\B1_AUDIO_04_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_05_001.mp3,inll_165655b35749_B1_KAPITEL_1_B1_AUDIO_05_001.mp3,B1\KAPITEL 1\B1_AUDIO_05_001.txt,B1\KAPITEL 1\B1_AUDIO_05_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_06_001.mp3,inll_7ad2bfcfb81a_B1_KAPITEL_1_B1_AUDIO_06_001.mp3,B1\KAPITEL 1\B1_AUDIO_06_001.txt,B1\KAPITEL 1\B1_AUDIO_06_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_07_001.mp3,inll_dcc964c23926_B1_KAPITEL_1_B1_AUDIO_07_001.mp3,B1\KAPITEL 1\B1_AUDIO_07_001.txt,B1\KAPITEL 1\B1_AUDIO_07_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_08_001.mp3,inll_75df5eaff296_B1_KAPITEL_1_B1_AUDIO_08_001.mp3,B1\KAPITEL 1\B1_AUDIO_08_001.txt,B1\KAPITEL 1\B1_AUDIO_08_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_09_001.mp3,inll_96b03c58b66c_B1_KAPITEL_1_B1_AUDIO_09_001.mp3,B1\KAPITEL 1\B1_AUDIO_09_001.txt,B1\KAPITEL 1\B1_AUDIO_09_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_10_001.mp3,inll_4226caf05a49_B1_KAPITEL_1_B1_AUDIO_10_001.mp3,B1\KAPITEL 1\B1_AUDIO_10_001.txt,B1\KAPITEL 1\B1_AUDIO_10_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_10_002.mp3,inll_87ff5b9c5b72_B1_KAPITEL_1_B1_AUDIO_10_002.mp3,B1\KAPITEL 1\B1_AUDIO_10_002.txt,B1\KAPITEL 1\B1_AUDIO_10_002.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_11_001.mp3,inll_5975ec56b006_B1_KAPITEL_1_B1_AUDIO_11_001.mp3,B1\KAPITEL 1\B1_AUDIO_11_001.txt,B1\KAPITEL 1\B1_AUDIO_11_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_12_001.mp3,inll_cafa90bdda96_B1_KAPITEL_1_B1_AUDIO_12_001.mp3,B1\KAPITEL 1\B1_AUDIO_12_001.txt,B1\KAPITEL 1\B1_AUDIO_12_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_13_001.mp3,inll_fa0107c98ca2_B1_KAPITEL_1_B1_AUDIO_13_001.mp3,B1\KAPITEL 1\B1_AUDIO_13_001.txt,B1\KAPITEL 1\B1_AUDIO_13_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_14_001.mp3,inll_b0472ae4fc70_B1_KAPITEL_1_B1_AUDIO_14_001.mp3,B1\KAPITEL 1\B1_AUDIO_14_001.txt,B1\KAPITEL 1\B1_AUDIO_14_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_15_001.mp3,inll_d66bfb533541_B1_KAPITEL_1_B1_AUDIO_15_001.mp3,B1\KAPITEL 1\B1_AUDIO_15_001.txt,B1\KAPITEL 1\B1_AUDIO_15_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_16_001.mp3,inll_803c7ec3f252_B1_KAPITEL_1_B1_AUDIO_16_001.mp3,B1\KAPITEL 1\B1_AUDIO_16_001.txt,B1\KAPITEL 1\B1_AUDIO_16_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_17_001.mp3,inll_cb67a3693f25_B1_KAPITEL_1_B1_AUDIO_17_001.mp3,B1\KAPITEL 1\B1_AUDIO_17_001.txt,B1\KAPITEL 1\B1_AUDIO_17_001.txt,2
B1\KAPITEL 1,B1\KAPITEL 1\B1_AUDIO_17_002.mp3,inll_8d9ae44feb81_B1_KAPITEL_1_B1_AUDIO_17_002.mp3,B1\KAPITEL 1\B1_AUDIO_17_002.txt,B1\KAPITEL 1\B1_AUDIO_17_002.txt,2
