chapter,source_audio,anki_media_file,transcript_file,translation_file,cards_generated
A1\KAPITEL 6,A1\KAPITEL 6\Audio 134_001.mp3,inll_db3997607640_A1_KAPITEL_6_Audio_134_001.mp3,A1\KAPITEL 6\Audio 134_001.txt,A1\KAPITEL 6\Audio 134_001.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 134_002.mp3,inll_e4c933a8687c_A1_KAPITEL_6_Audio_134_002.mp3,A1\KAPITEL 6\Audio 134_002.txt,A1\KAPITEL 6\Audio 134_002.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 135_001.mp3,inll_3a8f29f30d3f_A1_KAPITEL_6_Audio_135_001.mp3,A1\KAPITEL 6\Audio 135_001.txt,A1\KAPITEL 6\Audio 135_001.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 136_001.mp3,inll_75425fd30211_A1_KAPITEL_6_Audio_136_001.mp3,A1\KAPITEL 6\Audio 136_001.txt,A1\KAPITEL 6\Audio 136_001.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 136_002.mp3,inll_e52e503d4c1e_A1_KAPITEL_6_Audio_136_002.mp3,A1\KAPITEL 6\Audio 136_002.txt,A1\KAPITEL 6\Audio 136_002.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 136_003.mp3,inll_4568c63ec33a_A1_KAPITEL_6_Audio_136_003.mp3,A1\KAPITEL 6\Audio 136_003.txt,A1\KAPITEL 6\Audio 136_003.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 137_001.mp3,inll_fe00c1494c75_A1_KAPITEL_6_Audio_137_001.mp3,A1\KAPITEL 6\Audio 137_001.txt,A1\KAPITEL 6\Audio 137_001.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 137_002.mp3,inll_c6de4fd1d0ae_A1_KAPITEL_6_Audio_137_002.mp3,A1\KAPITEL 6\Audio 137_002.txt,A1\KAPITEL 6\Audio 137_002.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 138_001.mp3,inll_a8b73e9b828c_A1_KAPITEL_6_Audio_138_001.mp3,A1\KAPITEL 6\Audio 138_001.txt,A1\KAPITEL 6\Audio 138_001.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 139_001.mp3,inll_297b7adf28df_A1_KAPITEL_6_Audio_139_001.mp3,A1\KAPITEL 6\Audio 139_001.txt,A1\KAPITEL 6\Audio 139_001.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 140_001.mp3,inll_3cc2e22312f5_A1_KAPITEL_6_Audio_140_001.mp3,A1\KAPITEL 6\Audio 140_001.txt,A1\KAPITEL 6\Audio 140_001.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_001.mp3,inll_ab6eea3734b2_A1_KAPITEL_6_Audio_141_001.mp3,A1\KAPITEL 6\Audio 141_001.txt,A1\KAPITEL 6\Audio 141_001.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_002.mp3,inll_b4c6ee5f4667_A1_KAPITEL_6_Audio_141_002.mp3,A1\KAPITEL 6\Audio 141_002.txt,A1\KAPITEL 6\Audio 141_002.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_003.mp3,inll_ea82816dcc71_A1_KAPITEL_6_Audio_141_003.mp3,A1\KAPITEL 6\Audio 141_003.txt,A1\KAPITEL 6\Audio 141_003.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_004.mp3,inll_4face63ac875_A1_KAPITEL_6_Audio_141_004.mp3,A1\KAPITEL 6\Audio 141_004.txt,A1\KAPITEL 6\Audio 141_004.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_005.mp3,inll_7184f1cfd8ef_A1_KAPITEL_6_Audio_141_005.mp3,A1\KAPITEL 6\Audio 141_005.txt,A1\KAPITEL 6\Audio 141_005.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_006.mp3,inll_0f4aa9878bbe_A1_KAPITEL_6_Audio_141_006.mp3,A1\KAPITEL 6\Audio 141_006.txt,A1\KAPITEL 6\Audio 141_006.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_007.mp3,inll_2550efbca35c_A1_KAPITEL_6_Audio_141_007.mp3,A1\KAPITEL 6\Audio 141_007.txt,A1\KAPITEL 6\Audio 141_007.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_008.mp3,inll_6926d5e0723a_A1_KAPITEL_6_Audio_141_008.mp3,A1\KAPITEL 6\Audio 141_008.txt,A1\KAPITEL 6\Audio 141_008.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_009.mp3,inll_d3bac4780c48_A1_KAPITEL_6_Audio_141_009.mp3,A1\KAPITEL 6\Audio 141_009.txt,A1\KAPITEL 6\Audio 141_009.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_010.mp3,inll_174f9f8c1a42_A1_KAPITEL_6_Audio_141_010.mp3,A1\KAPITEL 6\Audio 141_010.txt,A1\KAPITEL 6\Audio 141_010.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 141_011.mp3,inll_92f20c619afd_A1_KAPITEL_6_Audio_141_011.mp3,A1\KAPITEL 6\Audio 141_011.txt,A1\KAPITEL 6\Audio 141_011.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 142_001.mp3,inll_4eca27a9da63_A1_KAPITEL_6_Audio_142_001.mp3,A1\KAPITEL 6\Audio 142_001.txt,A1\KAPITEL 6\Audio 142_001.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 142_002.mp3,inll_0cfbd3dea1c4_A1_KAPITEL_6_Audio_142_002.mp3,A1\KAPITEL 6\Audio 142_002.txt,A1\KAPITEL 6\Audio 142_002.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 142_003.mp3,inll_ef345953f51a_A1_KAPITEL_6_Audio_142_003.mp3,A1\KAPITEL 6\Audio 142_003.txt,A1\KAPITEL 6\Audio 142_003.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 142_004.mp3,inll_4f84a9bfc229_A1_KAPITEL_6_Audio_142_004.mp3,A1\KAPITEL 6\Audio 142_004.txt,A1\KAPITEL 6\Audio 142_004.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 142_005.mp3,inll_eb5720146dbe_A1_KAPITEL_6_Audio_142_005.mp3,A1\KAPITEL 6\Audio 142_005.txt,A1\KAPITEL 6\Audio 142_005.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 142_006.mp3,inll_390e93fdc3fc_A1_KAPITEL_6_Audio_142_006.mp3,A1\KAPITEL 6\Audio 142_006.txt,A1\KAPITEL 6\Audio 142_006.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 142_007.mp3,inll_2740cae4df05_A1_KAPITEL_6_Audio_142_007.mp3,A1\KAPITEL 6\Audio 142_007.txt,A1\KAPITEL 6\Audio 142_007.txt,2
A1\KAPITEL 6,A1\KAPITEL 6\Audio 142_008.mp3,inll_dfb04eb1fd41_A1_KAPITEL_6_Audio_142_008.mp3,A1\KAPITEL 6\Audio 142_008.txt,A1\KAPITEL 6\Audio 142_008.txt,2
