chapter,source_audio,anki_media_file,transcript_file,translation_file,cards_generated
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_124_001.mp3,inll_d8de98cda749_B1_KAPITEL_5_B1_AUDIO_124_001.mp3,B1\KAPITEL 5\B1_AUDIO_124_001.txt,B1\KAPITEL 5\B1_AUDIO_124_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_125_001.mp3,inll_61af3ea0473b_B1_KAPITEL_5_B1_AUDIO_125_001.mp3,B1\KAPITEL 5\B1_AUDIO_125_001.txt,B1\KAPITEL 5\B1_AUDIO_125_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_125_002.mp3,inll_8f96a82efaca_B1_KAPITEL_5_B1_AUDIO_125_002.mp3,B1\KAPITEL 5\B1_AUDIO_125_002.txt,B1\KAPITEL 5\B1_AUDIO_125_002.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_125_003.mp3,inll_4345119dbc7f_B1_KAPITEL_5_B1_AUDIO_125_003.mp3,B1\KAPITEL 5\B1_AUDIO_125_003.txt,B1\KAPITEL 5\B1_AUDIO_125_003.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_126_001.mp3,inll_f957adf83523_B1_KAPITEL_5_B1_AUDIO_126_001.mp3,B1\KAPITEL 5\B1_AUDIO_126_001.txt,B1\KAPITEL 5\B1_AUDIO_126_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_126_002.mp3,inll_cf22f51df3bc_B1_KAPITEL_5_B1_AUDIO_126_002.mp3,B1\KAPITEL 5\B1_AUDIO_126_002.txt,B1\KAPITEL 5\B1_AUDIO_126_002.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_127_001.mp3,inll_4a1fc4c4e2dd_B1_KAPITEL_5_B1_AUDIO_127_001.mp3,B1\KAPITEL 5\B1_AUDIO_127_001.txt,B1\KAPITEL 5\B1_AUDIO_127_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_128_001.mp3,inll_6d5fd9a175fd_B1_KAPITEL_5_B1_AUDIO_128_001.mp3,B1\KAPITEL 5\B1_AUDIO_128_001.txt,B1\KAPITEL 5\B1_AUDIO_128_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_129_001.mp3,inll_b24ce211635d_B1_KAPITEL_5_B1_AUDIO_129_001.mp3,B1\KAPITEL 5\B1_AUDIO_129_001.txt,B1\KAPITEL 5\B1_AUDIO_129_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_130_001.mp3,inll_279f8a925913_B1_KAPITEL_5_B1_AUDIO_130_001.mp3,B1\KAPITEL 5\B1_AUDIO_130_001.txt,B1\KAPITEL 5\B1_AUDIO_130_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_130_002.mp3,inll_a8e14aeb5271_B1_KAPITEL_5_B1_AUDIO_130_002.mp3,B1\KAPITEL 5\B1_AUDIO_130_002.txt,B1\KAPITEL 5\B1_AUDIO_130_002.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_131_001.mp3,inll_ad34357da4a2_B1_KAPITEL_5_B1_AUDIO_131_001.mp3,B1\KAPITEL 5\B1_AUDIO_131_001.txt,B1\KAPITEL 5\B1_AUDIO_131_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_132_001.mp3,inll_aad8a9d445cc_B1_KAPITEL_5_B1_AUDIO_132_001.mp3,B1\KAPITEL 5\B1_AUDIO_132_001.txt,B1\KAPITEL 5\B1_AUDIO_132_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_133_001.mp3,inll_aad0318726a2_B1_KAPITEL_5_B1_AUDIO_133_001.mp3,B1\KAPITEL 5\B1_AUDIO_133_001.txt,B1\KAPITEL 5\B1_AUDIO_133_001.txt,2
B1\KAPITEL 5,B1\KAPITEL 5\B1_AUDIO_134_001.mp3,inll_5464b7f86843_B1_KAPITEL_5_B1_AUDIO_134_001.mp3,B1\KAPITEL 5\B1_AUDIO_134_001.txt,B1\KAPITEL 5\B1_AUDIO_134_001.txt,2
