chapter,source_audio,anki_media_file,transcript_file,translation_file,cards_generated
A2\KAPITEL 2,A2\KAPITEL 2\Audio20_001.mp3,inll_f493d16cc4c5_A2_KAPITEL_2_Audio20_001.mp3,A2\KAPITEL 2\Audio20_001.txt,A2\KAPITEL 2\Audio20_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio21_001.mp3,inll_8f7fd096811a_A2_KAPITEL_2_Audio21_001.mp3,A2\KAPITEL 2\Audio21_001.txt,A2\KAPITEL 2\Audio21_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio22_001.mp3,inll_44ada5f2d869_A2_KAPITEL_2_Audio22_001.mp3,A2\KAPITEL 2\Audio22_001.txt,A2\KAPITEL 2\Audio22_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio23_001.mp3,inll_791146f000b8_A2_KAPITEL_2_Audio23_001.mp3,A2\KAPITEL 2\Audio23_001.txt,A2\KAPITEL 2\Audio23_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio24_001.mp3,inll_10265049d296_A2_KAPITEL_2_Audio24_001.mp3,A2\KAPITEL 2\Audio24_001.txt,A2\KAPITEL 2\Audio24_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio25_001.mp3,inll_8c29a11c8c70_A2_KAPITEL_2_Audio25_001.mp3,A2\KAPITEL 2\Audio25_001.txt,A2\KAPITEL 2\Audio25_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio26_001.mp3,inll_566123f5dc36_A2_KAPITEL_2_Audio26_001.mp3,A2\KAPITEL 2\Audio26_001.txt,A2\KAPITEL 2\Audio26_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio27_001.mp3,inll_a85ee508f08d_A2_KAPITEL_2_Audio27_001.mp3,A2\KAPITEL 2\Audio27_001.txt,A2\KAPITEL 2\Audio27_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio27_002.mp3,inll_16c6c16ac6ce_A2_KAPITEL_2_Audio27_002.mp3,A2\KAPITEL 2\Audio27_002.txt,A2\KAPITEL 2\Audio27_002.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio28_001.mp3,inll_b3993aeb946e_A2_KAPITEL_2_Audio28_001.mp3,A2\KAPITEL 2\Audio28_001.txt,A2\KAPITEL 2\Audio28_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio28_002.mp3,inll_0c3861378776_A2_KAPITEL_2_Audio28_002.mp3,A2\KAPITEL 2\Audio28_002.txt,A2\KAPITEL 2\Audio28_002.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio29_001.mp3,inll_6180f2f9b152_A2_KAPITEL_2_Audio29_001.mp3,A2\KAPITEL 2\Audio29_001.txt,A2\KAPITEL 2\Audio29_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio30_001.mp3,inll_4ac46af0a960_A2_KAPITEL_2_Audio30_001.mp3,A2\KAPITEL 2\Audio30_001.txt,A2\KAPITEL 2\Audio30_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio31_001.mp3,inll_9d6aeabba165_A2_KAPITEL_2_Audio31_001.mp3,A2\KAPITEL 2\Audio31_001.txt,A2\KAPITEL 2\Audio31_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio32_001.mp3,inll_d5d6da4ce26d_A2_KAPITEL_2_Audio32_001.mp3,A2\KAPITEL 2\Audio32_001.txt,A2\KAPITEL 2\Audio32_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio33_001.mp3,inll_3b58f10ae13a_A2_KAPITEL_2_Audio33_001.mp3,A2\KAPITEL 2\Audio33_001.txt,A2\KAPITEL 2\Audio33_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio33_002.mp3,inll_7ad48ac0a7ec_A2_KAPITEL_2_Audio33_002.mp3,A2\KAPITEL 2\Audio33_002.txt,A2\KAPITEL 2\Audio33_002.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio33_003.mp3,inll_c225164a288b_A2_KAPITEL_2_Audio33_003.mp3,A2\KAPITEL 2\Audio33_003.txt,A2\KAPITEL 2\Audio33_003.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio34_001.mp3,inll_42e18c013cd0_A2_KAPITEL_2_Audio34_001.mp3,A2\KAPITEL 2\Audio34_001.txt,A2\KAPITEL 2\Audio34_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_001.mp3,inll_b57190744f82_A2_KAPITEL_2_Audio35_001.mp3,A2\KAPITEL 2\Audio35_001.txt,A2\KAPITEL 2\Audio35_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_002.mp3,inll_dabeb1c5a66a_A2_KAPITEL_2_Audio35_002.mp3,A2\KAPITEL 2\Audio35_002.txt,A2\KAPITEL 2\Audio35_002.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_003.mp3,inll_18bbdf79b6d5_A2_KAPITEL_2_Audio35_003.mp3,A2\KAPITEL 2\Audio35_003.txt,A2\KAPITEL 2\Audio35_003.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_004.mp3,inll_8ea16399a71b_A2_KAPITEL_2_Audio35_004.mp3,A2\KAPITEL 2\Audio35_004.txt,A2\KAPITEL 2\Audio35_004.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_005.mp3,inll_ffdfd4dec8cb_A2_KAPITEL_2_Audio35_005.mp3,A2\KAPITEL 2\Audio35_005.txt,A2\KAPITEL 2\Audio35_005.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_006.mp3,inll_9e71394a861f_A2_KAPITEL_2_Audio35_006.mp3,A2\KAPITEL 2\Audio35_006.txt,A2\KAPITEL 2\Audio35_006.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_007.mp3,inll_4e4e603b3286_A2_KAPITEL_2_Audio35_007.mp3,A2\KAPITEL 2\Audio35_007.txt,A2\KAPITEL 2\Audio35_007.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_008.mp3,inll_0580d01725b6_A2_KAPITEL_2_Audio35_008.mp3,A2\KAPITEL 2\Audio35_008.txt,A2\KAPITEL 2\Audio35_008.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_009.mp3,inll_0b66f93842e7_A2_KAPITEL_2_Audio35_009.mp3,A2\KAPITEL 2\Audio35_009.txt,A2\KAPITEL 2\Audio35_009.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_010.mp3,inll_7e262f5d9e55_A2_KAPITEL_2_Audio35_010.mp3,A2\KAPITEL 2\Audio35_010.txt,A2\KAPITEL 2\Audio35_010.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio35_011.mp3,inll_f37a44c0fab1_A2_KAPITEL_2_Audio35_011.mp3,A2\KAPITEL 2\Audio35_011.txt,A2\KAPITEL 2\Audio35_011.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio36_001.mp3,inll_40eae5cb0473_A2_KAPITEL_2_Audio36_001.mp3,A2\KAPITEL 2\Audio36_001.txt,A2\KAPITEL 2\Audio36_001.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio36_002.mp3,inll_ce8597f1203a_A2_KAPITEL_2_Audio36_002.mp3,A2\KAPITEL 2\Audio36_002.txt,A2\KAPITEL 2\Audio36_002.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio36_003.mp3,inll_540b452c69be_A2_KAPITEL_2_Audio36_003.mp3,A2\KAPITEL 2\Audio36_003.txt,A2\KAPITEL 2\Audio36_003.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio36_004.mp3,inll_7390cbafd11c_A2_KAPITEL_2_Audio36_004.mp3,A2\KAPITEL 2\Audio36_004.txt,A2\KAPITEL 2\Audio36_004.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio36_005.mp3,inll_b71ab371b596_A2_KAPITEL_2_Audio36_005.mp3,A2\KAPITEL 2\Audio36_005.txt,A2\KAPITEL 2\Audio36_005.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio36_006.mp3,inll_796d23446c21_A2_KAPITEL_2_Audio36_006.mp3,A2\KAPITEL 2\Audio36_006.txt,A2\KAPITEL 2\Audio36_006.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio36_007.mp3,inll_69265d19429c_A2_KAPITEL_2_Audio36_007.mp3,A2\KAPITEL 2\Audio36_007.txt,A2\KAPITEL 2\Audio36_007.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio36_008.mp3,inll_32a8cd601599_A2_KAPITEL_2_Audio36_008.mp3,A2\KAPITEL 2\Audio36_008.txt,A2\KAPITEL 2\Audio36_008.txt,2
A2\KAPITEL 2,A2\KAPITEL 2\Audio37_001.mp3,inll_1b087fc31be2_A2_KAPITEL_2_Audio37_001.mp3,A2\KAPITEL 2\Audio37_001.txt,A2\KAPITEL 2\Audio37_001.txt,2
